                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.45614,                0.45732,                0.32438,                0.83641,                0.98135,                0.81579,                0.88414,                0.77492,                0.94943,                0.78947,                0.86109,                0.49081,                0.46708,                0.33718,                0.41725,                0.85011,             0.00069443,             0.00069443,             0.00069443
                     77,                0.43595,                0.47994,                0.31992,                0.83475,                0.98506,                0.86764,                0.89618,                0.79345,                0.95519,                0.84145,                 0.8653,                0.47595,                0.46656,                0.33952,                 0.3798,                0.84856,             0.00068722,             0.00068722,             0.00068722
                     78,                0.47236,                0.47175,                0.31675,                0.84578,                0.98455,                0.83862,                0.90376,                0.79701,                0.95368,                0.81267,                0.86763,                0.48287,                0.47438,                0.35289,                0.38931,                 0.8575,             0.00067997,             0.00067997,             0.00067997
                     79,                0.45639,                0.48706,                0.32213,                0.83904,                0.92737,                0.84009,                0.88703,                0.79277,                0.89835,                  0.814,                0.85426,                 0.4993,                0.50367,                0.33541,                0.45208,                0.88616,             0.00067268,             0.00067268,             0.00067268
                     80,                0.45923,                 0.5439,                0.32627,                0.84321,                0.96899,                0.82248,                0.90575,                0.79978,                0.92255,                0.78368,                 0.8639,                0.48439,                0.48895,                0.33582,                0.42738,                 0.8698,             0.00066534,             0.00066534,             0.00066534
                     81,                0.43627,                  0.461,                0.31073,                0.83093,                0.98147,                0.82895,                0.91192,                0.80322,                0.95019,                0.80263,                0.87895,                0.48976,                0.48346,                0.34645,                 0.4089,                0.85978,             0.00065796,             0.00065796,             0.00065796
                     82,                0.43353,                0.46895,                0.30805,                0.82281,                0.98039,                0.82895,                0.89607,                0.80574,                0.94918,                0.80263,                0.86687,                0.50343,                 0.4727,                0.34972,                0.39819,                 0.8411,             0.00065055,             0.00065055,             0.00065055
                     83,                0.42019,                0.49475,                0.29678,                0.82868,                0.95341,                0.85526,                0.90279,                0.80711,                0.92393,                0.82895,                0.86805,                 0.5149,                0.49098,                 0.3466,                0.37484,                0.83757,              0.0006431,              0.0006431,              0.0006431
                     84,                0.43641,                0.44169,                0.30175,                  0.833,                0.96765,                0.82895,                0.89423,                0.80284,                0.92145,                0.78947,                0.84812,                0.50093,                0.46834,                0.35034,                0.36957,                0.82321,             0.00063562,             0.00063562,             0.00063562
                     85,                0.42465,                0.44104,                0.29286,                0.82541,                0.95055,                0.81579,                0.89503,                 0.7992,                0.90449,                0.77632,                0.84577,                0.50384,                0.48128,                0.34334,                0.41344,                0.82374,              0.0006281,              0.0006281,              0.0006281
                     86,                0.43172,                0.46344,                 0.3066,                0.82436,                0.98408,                0.81344,                0.90125,                0.80536,                0.95226,                0.78737,                0.86947,                0.51663,                0.49096,                0.32983,                0.38975,                0.84517,             0.00062056,             0.00062056,             0.00062056
                     87,                0.45683,                0.53247,                0.31721,                0.83843,                      1,                0.81083,                0.91208,                0.80462,                0.95131,                0.77136,                0.86697,                0.50942,                0.46346,                0.33506,                0.40097,                0.84048,             0.00061298,             0.00061298,             0.00061298
                     88,                0.43614,                 0.4677,                0.30553,                0.82885,                 0.9694,                0.84211,                0.92403,                0.81504,                0.92376,                0.80263,                 0.8758,                0.51245,                0.47101,                 0.3302,                0.37406,                0.85493,             0.00060538,             0.00060538,             0.00060538
                     89,                0.43464,                0.48572,                0.31188,                0.83246,                0.99699,                0.84211,                0.92311,                0.80821,                0.93461,                0.78947,                0.85741,                0.50293,                0.47521,                0.33524,                0.36882,                0.84826,             0.00059775,             0.00059775,             0.00059775
                     90,                0.42943,                 0.4565,                0.30108,                0.82553,                0.93899,                0.86842,                0.91718,                0.80174,                0.89601,                0.82895,                 0.8599,                0.47884,                0.47979,                0.35099,                0.38764,                0.85379,              0.0005901,              0.0005901,              0.0005901
                     91,                0.42206,                0.46016,                0.29594,                0.83061,                0.96634,                0.82895,                0.91373,                0.80508,                0.86225,                0.80263,                0.84047,                0.47637,                0.47768,                0.35938,                0.40959,                0.85203,             0.00058244,             0.00058244,             0.00058244
                     92,                0.43184,                0.45924,                0.30123,                 0.8321,                0.93038,                0.87918,                0.91499,                0.80957,                0.90255,                0.85304,                0.88786,                0.52041,                0.47533,                0.33957,                0.40674,                0.84719,             0.00057475,             0.00057475,             0.00057475
                     93,                0.42196,                 0.4373,                0.29852,                0.82516,                0.99618,                0.82895,                0.92044,                0.80721,                0.96444,                0.80263,                0.88806,                0.50779,                 0.4752,                0.35655,                0.38105,                0.84842,             0.00056704,             0.00056704,             0.00056704
                     94,                0.43932,                0.45047,                 0.3013,                0.83065,                 0.9719,                0.85526,                0.90656,                0.81139,                 0.9114,                0.80263,                0.84194,                0.51986,                0.45341,                0.34016,                0.38182,                0.84625,             0.00055932,             0.00055932,             0.00055932
                     95,                0.42997,                0.48995,                0.30651,                0.82762,                0.98481,                0.85335,                0.92185,                0.80822,                0.90153,                0.81579,                0.84681,                0.51167,                0.46987,                0.33755,                0.36698,                0.84547,             0.00055158,             0.00055158,             0.00055158
                     96,                 0.4217,                0.42855,                0.28925,                0.82613,                0.99874,                0.84211,                0.91971,                0.79709,                0.98303,                0.82895,                0.89511,                0.50136,                0.47101,                0.34004,                0.39107,                0.85531,             0.00054384,             0.00054384,             0.00054384
                     97,                0.42219,                0.45896,                 0.2982,                 0.8261,                      1,                 0.8632,                0.91047,                0.80091,                0.95428,                0.82387,                0.85651,                0.50985,                0.47338,                0.34513,                0.39577,                0.87829,             0.00053608,             0.00053608,             0.00053608
                     98,                0.41073,                0.43034,                0.28468,                0.82466,                0.99372,                0.84211,                0.92289,                0.81471,                0.96247,                0.81579,                0.88161,                0.50677,                0.47445,                0.35551,                0.38894,                0.89973,             0.00052832,             0.00052832,             0.00052832
                     99,                0.40354,                0.41867,                0.28319,                0.82396,                0.97875,                0.85526,                0.91767,                0.80861,                0.93342,                0.81579,                0.85751,                0.50018,                0.46701,                0.34928,                0.38967,                0.88673,             0.00052055,             0.00052055,             0.00052055
                    100,                 0.4101,                0.45351,                0.29185,                0.82003,                 0.9975,                0.84211,                0.91975,                0.80445,                0.95069,                0.80263,                0.85996,                0.49376,                0.48034,                0.35166,                0.39721,                 0.8887,             0.00051278,             0.00051278,             0.00051278
                    101,                0.43157,                0.45053,                 0.2899,                0.83143,                0.96976,                0.85526,                0.91686,                0.81254,                 0.9093,                0.80263,                0.85086,                0.50426,                0.45523,                0.33781,                 0.4055,                0.86675,               0.000505,               0.000505,               0.000505
                    102,                0.40575,                0.46385,                0.28039,                0.82087,                0.99443,                0.82895,                 0.9126,                0.80998,                0.93117,                0.77632,                0.84645,                0.51235,                 0.4592,                0.34419,                  0.401,                0.87521,             0.00049722,             0.00049722,             0.00049722
                    103,                0.40117,                0.44506,                0.28215,                0.82252,                0.98078,                0.85526,                0.91755,                 0.8106,                0.91934,                0.80263,                0.85496,                0.48493,                0.45789,                0.35451,                0.40126,                0.86973,             0.00048945,             0.00048945,             0.00048945
                    104,                0.41273,                 0.4437,                0.28761,                 0.8226,                      1,                 0.8398,                0.91884,                0.81959,                0.95301,                0.80064,                0.86004,                0.50272,                0.45048,                0.34126,                0.40501,                0.85386,             0.00048168,             0.00048168,             0.00048168
                    105,                0.40194,                0.42982,                0.27987,                0.81984,                      1,                0.84045,                0.92029,                0.80359,                0.94982,                0.78947,                 0.8524,                0.49501,                0.47665,                0.36685,                0.40959,                0.86794,             0.00047392,             0.00047392,             0.00047392
