                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.45692,                0.48307,                0.35995,                0.84247,                0.92731,                0.83935,                0.89522,                0.77579,                0.91278,                0.82619,                  0.873,                0.49717,                0.60432,                0.32457,                0.44793,                0.95263,               0.001337,               0.001337,               0.001337
                     79,                0.47706,                0.50245,                0.36869,                 0.8356,                0.89893,                0.85526,                0.88755,                0.77085,                0.92504,                0.78947,                0.87276,                0.50002,                0.63414,                 0.3254,                0.44153,                0.94999,               0.001236,               0.001236,               0.001236
                     80,                0.43445,                0.50829,                0.35491,                0.83736,                0.85234,                0.88158,                0.88459,                0.77794,                 0.8394,                0.86842,                0.87794,                0.49575,                 0.6252,                 0.3174,                0.45955,                0.96596,              0.0011387,              0.0011387,              0.0011387
                     81,                0.43165,                0.47537,                0.34656,                0.83121,                0.86271,                0.86842,                0.89449,                0.77762,                0.82692,                0.88012,                0.87551,                0.49124,                0.61323,                0.32434,                0.47087,                0.96668,              0.0010454,              0.0010454,              0.0010454
                     82,                0.44551,                0.48618,                0.35013,                0.82947,                0.89134,                0.86351,                 0.8963,                0.77397,                0.87777,                0.85047,                0.87791,                 0.5012,                0.61231,                0.32177,                0.46777,                0.97071,             0.00095595,             0.00095595,             0.00095595
                     83,                0.42661,                0.46096,                0.33848,                0.83413,                0.89157,                0.86554,                0.89349,                0.76573,                0.87801,                0.85239,                0.87095,                0.51468,                0.62325,                0.31065,                0.46552,                0.96915,             0.00087058,             0.00087058,             0.00087058
                     84,                0.40988,                0.45001,                0.33374,                0.80934,                0.87966,                0.86842,                0.89231,                 0.7701,                0.86633,                0.85526,                0.86683,                0.50229,                0.62905,                  0.315,                0.45387,                0.97528,             0.00078933,             0.00078933,             0.00078933
                     85,                 0.4124,                0.45332,                0.32799,                0.82912,                0.89093,                0.86842,                0.89492,                0.77492,                0.87727,                0.85526,                0.87021,                0.49712,                0.60309,                0.32047,                0.45699,                0.95028,             0.00071228,             0.00071228,             0.00071228
                     86,                0.42874,                0.42945,                0.36998,                0.82616,                0.94825,                0.81579,                0.90196,                0.78334,                0.88681,                0.84211,                0.87703,                0.50965,                0.61335,                0.32052,                0.45044,                0.95698,             0.00063952,             0.00063952,             0.00063952
                     87,                0.45229,                0.49894,                0.36506,                0.83457,                0.94111,                0.84104,                0.89872,                0.77652,                0.92638,                0.82789,                0.86517,                0.49373,                  0.623,                0.36869,                0.46079,                0.96452,             0.00057111,             0.00057111,             0.00057111
